Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,21.061251,23.136250,20.231251,21.113125,10.307817,8156146
1985-02-01,21.061251,22.254375,20.853750,21.268749,10.383803,4268193
1985-03-01,21.372499,22.046875,20.438749,21.995001,10.738366,2967470
1985-04-01,22.098749,22.358126,21.528126,22.046875,10.763700,2893012
1985-05-01,22.046875,23.862499,21.631874,23.810625,11.624793,3261928
1985-06-01,23.706875,24.692499,23.291876,24.692499,12.055342,2595904
1985-07-01,24.796249,24.951876,23.499374,23.862499,11.650121,2315904
1985-08-01,23.966249,24.796249,23.395624,24.381250,11.903378,3516868
1985-09-01,24.277500,24.744375,22.046875,22.150625,10.814347,3132530
1985-10-01,22.202499,23.551250,21.061251,23.240000,11.346206,5455181
1985-11-01,23.343750,27.545626,23.343750,26.559999,12.967086,8880002
1985-12-01,26.508125,26.611876,24.381250,24.900000,12.156645,7450361
1986-01-01,24.900000,27.805000,24.744375,27.338125,13.346983,6643375
1986-02-01,27.338125,32.681252,27.286249,31.955000,15.601027,7835662
1986-03-01,31.955000,33.096249,31.125000,31.540001,15.398417,4515663
1986-04-01,31.540001,31.540001,28.894375,29.049999,14.182749,4880481
1986-05-01,28.946251,31.176874,28.479376,30.450624,14.866558,5283615
1986-06-01,30.450624,32.473751,29.205626,31.540001,15.398417,4693737
1986-07-01,31.540001,35.275002,30.709999,33.407501,16.310167,7965781
1986-08-01,33.407501,38.128124,33.096249,36.623749,17.880402,5962167
1986-09-01,36.623749,37.038750,31.228750,33.874374,16.538099,6382892
1986-10-01,33.978127,37.298126,33.718750,36.364376,17.753752,5040964
1986-11-01,36.831249,37.142502,34.133751,35.223125,17.196587,5975182
1986-12-01,35.223125,37.246250,34.652500,34.911877,17.044624,5253492
1987-01-01,35.119373,41.500000,35.119373,39.424999,19.248011,10305060
1987-02-01,39.424999,44.404999,39.321251,42.744999,20.868900,6041929
1987-03-01,42.848751,43.575001,38.283749,40.151249,19.602585,9663735
1987-04-01,39.632500,41.811249,33.511250,35.793751,17.475170,8557106
1987-05-01,36.105000,36.416248,29.672501,33.200001,16.343309,7733494
1987-06-01,33.615002,37.142502,33.096249,34.548752,17.007248,7086145
1987-07-01,34.341251,38.387501,32.369999,37.972500,18.692642,8034698
1987-08-01,37.349998,41.292500,36.312500,38.595001,19.185122,10038193
1987-09-01,38.595001,39.009998,35.689999,37.349998,18.566246,7271686
1987-10-01,36.935001,40.151249,21.372499,23.966249,11.913340,12848674
1987-11-01,23.758751,24.277500,20.750000,21.165001,10.609057,6352290
1987-12-01,21.372499,21.995001,18.052500,20.023750,10.036998,9165059
1988-01-01,19.920000,23.240000,19.920000,23.240000,11.649157,5769639
1988-02-01,23.862499,25.937500,22.513750,25.833750,13.167604,5166144
1988-03-01,25.626249,26.767500,24.381250,24.692499,12.585905,5831929
1988-04-01,24.277500,24.381250,20.127501,20.542500,10.470632,6666387
1988-05-01,20.750000,21.061251,19.193750,20.231251,10.452527,3419036
1988-06-01,20.127501,22.928749,19.816250,22.617500,11.685381,12532773
1988-07-01,22.306250,23.136250,20.334999,20.438749,10.559727,3439879
1988-08-01,20.646250,25.003750,20.542500,24.070000,12.621087,17476506
1988-09-01,23.758751,24.277500,22.928749,24.070000,12.621087,7668434
1988-10-01,23.655001,24.277500,22.928749,24.070000,12.621087,5410603
1988-11-01,23.862499,24.277500,21.891251,23.758751,12.632119,4366384
1988-12-01,23.758751,23.758751,17.637501,18.052500,9.598202,6080603
1989-01-01,17.948750,19.816250,17.430000,19.504999,10.370471,9437469
1989-02-01,19.608749,20.542500,18.156250,18.260000,9.737075,11248675
1989-03-01,18.467501,18.986250,17.430000,17.948750,9.571100,11709759
